,Lower,Upper
A,-0.9041920813412898,3.483981895407578
B,-0.9958815272559898,3.4789858118154093
C,-0.9742147277342386,3.7171411626574433
D,-1.0048506840337748,4.168148986378158
E,-0.8056657347998221,1.998632590094891
